category,subcategory,brand,product_name,price_kes,notes
Camping,Camping Tents,TBD,Sample Product - Camping Tents,TBD,Placeholder row - replace with real product data before use
Camping,Family Tents,TBD,Sample Product - Family Tents,TBD,Placeholder row - replace with real product data before use
Camping,Sleeping Bags,TBD,Sample Product - Sleeping Bags,TBD,Placeholder row - replace with real product data before use
Camping,Camping Chairs,TBD,Sample Product - Camping Chairs,TBD,Placeholder row - replace with real product data before use
Camping,Camping Tables,TBD,Sample Product - Camping Tables,TBD,Placeholder row - replace with real product data before use
Camping,Camping Lighting,TBD,Sample Product - Camping Lighting,TBD,Placeholder row - replace with real product data before use
Camping,Camp Cooking Equipment,TBD,Sample Product - Camp Cooking Equipment,TBD,Placeholder row - replace with real product data before use
Camping,Camping Coolers,TBD,Sample Product - Camping Coolers,TBD,Placeholder row - replace with real product data before use
Camping,Camping Mattresses,TBD,Sample Product - Camping Mattresses,TBD,Placeholder row - replace with real product data before use
Camping,Camping Power,TBD,Sample Product - Camping Power,TBD,Placeholder row - replace with real product data before use
Hiking,Hiking Boots,TBD,Sample Product - Hiking Boots,TBD,Placeholder row - replace with real product data before use
Hiking,Hiking Shoes,TBD,Sample Product - Hiking Shoes,TBD,Placeholder row - replace with real product data before use
Hiking,Hiking Backpacks,TBD,Sample Product - Hiking Backpacks,TBD,Placeholder row - replace with real product data before use
Hiking,Trekking Poles,TBD,Sample Product - Trekking Poles,TBD,Placeholder row - replace with real product data before use
Hiking,Hiking Clothing,TBD,Sample Product - Hiking Clothing,TBD,Placeholder row - replace with real product data before use
Hiking,Hydration,TBD,Sample Product - Hydration,TBD,Placeholder row - replace with real product data before use
Hiking,Hiking Accessories,TBD,Sample Product - Hiking Accessories,TBD,Placeholder row - replace with real product data before use
Overlanding,Rooftop Tents,TBD,Sample Product - Rooftop Tents,TBD,Placeholder row - replace with real product data before use
Overlanding,4x4 Camping,TBD,Sample Product - 4x4 Camping,TBD,Placeholder row - replace with real product data before use
Overlanding,Overlanding Gear,TBD,Sample Product - Overlanding Gear,TBD,Placeholder row - replace with real product data before use
Overlanding,Vehicle Camping Equipment,TBD,Sample Product - Vehicle Camping Equipment,TBD,Placeholder row - replace with real product data before use
Overlanding,Storage,TBD,Sample Product - Storage,TBD,Placeholder row - replace with real product data before use
Overlanding,Camp Kitchens,TBD,Sample Product - Camp Kitchens,TBD,Placeholder row - replace with real product data before use
Overlanding,Recovery Equipment,TBD,Sample Product - Recovery Equipment,TBD,Placeholder row - replace with real product data before use
Portable Power,Portable Power Stations,TBD,Sample Product - Portable Power Stations,TBD,Placeholder row - replace with real product data before use
Portable Power,Solar Generators,TBD,Sample Product - Solar Generators,TBD,Placeholder row - replace with real product data before use
Portable Power,Portable Solar Panels,TBD,Sample Product - Portable Solar Panels,TBD,Placeholder row - replace with real product data before use
Portable Power,Camping Power Solutions,TBD,Sample Product - Camping Power Solutions,TBD,Placeholder row - replace with real product data before use
